mode_a,mode_b,maximum_absolute_normalized_crosscorrelation,signed_lag_of_maximum_fs,zero_lag_normalized_crosscorrelation,connected_at_threshold
3,18,0.15551364383726338,-30.0,7.077145996745958e-17,False
3,14,0.15445309768890808,-48.0,1.6194660184462237e-16,False
6,15,0.15362358886225197,-44.0,-2.483554388630559e-16,False
16,18,0.14706032041296538,-37.5,5.106624036869371e-16,False
2,12,0.14478614175286877,38.5,1.9116476478987878e-16,False
10,16,0.1441468191318508,-41.0,3.530503415783392e-16,False
5,18,0.1314698929359,41.5,-1.0146158068255291e-15,False
2,16,0.12668081065446793,44.0,8.244179453325522e-17,False
13,17,0.11546198116605812,-21.5,4.617273118089302e-17,False
5,16,0.10022318355874324,18.5,-5.12473775382285e-16,False
